Name,Age,Income,Marks,City,Gender,Date
Amit,21.0,25000.0,85.0,Delhi,Male,2025-01-10
Priya,22.0,30000.0,90.0,Roorkee,Female,2025-02-15
Rahul,,28000.0,78.0,Haridwar,Male,2025-03-20
Neha,23.0,,88.0,Delhi,Female,2025-04-05
Vikas,21.0,32000.0,,,Male,2025-05-12
Riya,24.0,35000.0,92.0,Roorkee,Female,2025-06-18
Karan,22.0,29000.0,76.0,Haridwar,Male,2025-07-21
Sneha,,31000.0,89.0,Delhi,Female,2025-08-09
Arjun,25.0,1000000.0,95.0,Roorkee,Male,2025-09-14
Pooja,23.0,33000.0,84.0,Delhi,Female,2025-10-22
Amit,21.0,,85.0,Delhi,Male,2025-11-11
Rohan,22.0,36000.0,,Haridwar,Male,2025-12-05
Anjali,24.0,34000.0,91.0,,Female,2026-01-17
Mohit,23.0,27000.0,79.0,Roorkee,Male,2026-02-20
Simran,,38000.0,87.0,Delhi,Female,2026-03-25
